open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00,2283.22,2289.38,2282.72,2289.37,115272,2024-01-01 00:04:59.999,504.26174001,848,74493,325.85568049,0
2024-01-01 00:05:00,2289.37,2293.09,2288.39,2292.06,375665,2024-01-01 00:09:59.999,1639.58281780,1388,215621,941.16445002,0
2024-01-01 00:10:00,2292.07,2298.50,2292.07,2298.33,352210,2024-01-01 00:14:59.999,1534.50934960,1531,252770,1101.43892262,0
2024-01-01 00:15:00,2298.33,2298.69,2293.99,2293.99,157482,2024-01-01 00:19:59.999,685.63189885,859,53997,235.10556673,0
2024-01-01 00:20:00,2293.92,2297.49,2293.92,2296.17,147271,2024-01-01 00:24:59.999,641.54285185,737,75722,329.94088552,0
2024-01-01 00:25:00,2296.17,2297.57,2290.55,2292.44,321731,2024-01-01 00:29:59.999,1403.37475226,1194,124043,541.05228831,0
2024-01-01 00:30:00,2292.44,2292.44,2290.00,2291.35,233444,2024-01-01 00:34:59.999,1019.13549454,982,154700,675.44266326,0
2024-01-01 00:35:00,2291.35,2295.52,2290.66,2295.46,104922,2024-01-01 00:39:59.999,457.46743403,775,76746,334.61398722,0
2024-01-01 00:40:00,2295.52,2295.96,2292.47,2294.69,88001,2024-01-01 00:44:59.999,383.64916164,450,34719,151.36321766,0
2024-01-01 00:45:00,2294.69,2295.23,2293.68,2293.79,25120,2024-01-01 00:49:59.999,109.48380359,263,11848,51.64281844,0
2024-01-01 00:50:00,2293.80,2296.74,2293.80,2296.74,23835,2024-01-01 00:54:59.999,103.85368252,344,20986,91.44083996,0
2024-01-01 00:55:00,2296.73,2298.50,2296.30,2297.07,109031,2024-01-01 00:59:59.999,474.50434012,604,41337,179.92041338,0
2024-01-01 01:00:00,2297.07,2297.07,2294.59,2295.33,105129,2024-01-01 01:04:59.999,458.04245723,657,85708,373.45081897,0
2024-01-01 01:05:00,2295.27,2296.37,2294.84,2295.71,40340,2024-01-01 01:09:59.999,175.74824001,318,18015,78.48912929,0
2024-01-01 01:10:00,2295.95,2298.97,2295.00,2298.14,113059,2024-01-01 01:14:59.999,492.00484201,592,39573,172.27125458,0
2024-01-01 01:15:00,2298.15,2300.76,2298.15,2300.31,162959,2024-01-01 01:19:59.999,708.61979468,766,122230,531.51869174,0
2024-01-01 01:20:00,2300.31,2300.68,2299.01,2299.25,93935,2024-01-01 01:24:59.999,408.39456393,500,22576,98.17964606,0
2024-01-01 01:25:00,2299.25,2301.99,2299.24,2300.65,60306,2024-01-01 01:29:59.999,262.11553070,568,39954,173.66292262,0
2024-01-01 01:30:00,2300.65,2303.78,2300.65,2302.43,157182,2024-01-01 01:34:59.999,682.57806925,789,129404,561.96834491,0
2024-01-01 01:35:00,2302.44,2308.41,2302.44,2306.06,242028,2024-01-01 01:39:59.999,1049.28621401,1469,133156,577.38919273,0
2024-01-01 01:40:00,2306.06,2306.35,2303.73,2304.85,110472,2024-01-01 01:44:59.999,479.29922060,553,56628,245.70243587,0
2024-01-01 01:45:00,2304.86,2308.48,2304.86,2306.69,161309,2024-01-01 01:49:59.999,699.23558008,816,91016,394.54217695,0
2024-01-01 01:50:00,2306.69,2307.15,2305.90,2306.09,34867,2024-01-01 01:54:59.999,151.17231047,316,19722,85.51411044,0
