create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-01-01 00:00:00,SOLUSD_PERP,3860088.0,379284.09303057,,,,1.75521437
2024-01-01 00:05:00,SOLUSD_PERP,3867182.0,377731.95674894,,,,0.83806773
2024-01-01 00:10:00,SOLUSD_PERP,3868406.0,377787.45359701,,,,1.15181555
2024-01-01 00:15:00,SOLUSD_PERP,3864966.0,377268.60980419,,,,1.07051971
2024-01-01 00:20:00,SOLUSD_PERP,3865112.0,377633.04706354,,,,1.08405365
2024-01-01 00:25:00,SOLUSD_PERP,3866988.0,378015.77758879,,,,0.87107687
2024-01-01 00:30:00,SOLUSD_PERP,3866608.0,378702.21343737,,,,1.18084154
2024-01-01 00:35:00,SOLUSD_PERP,3866540.0,379316.35092256,,,,0.96697284
2024-01-01 00:40:00,SOLUSD_PERP,3861058.0,376820.93222986,,,,2.12709576
2024-01-01 00:45:00,SOLUSD_PERP,3859538.0,377373.6842486,,,,0.94911671
2024-01-01 00:50:00,SOLUSD_PERP,3857494.0,377973.0546052,,,,0.57943925
2024-01-01 00:55:00,SOLUSD_PERP,3861214.0,377627.78712651,,,,1.41848828
2024-01-01 01:00:00,SOLUSD_PERP,3861756.0,378477.37028834,,,,0.71402682
2024-01-01 01:05:00,SOLUSD_PERP,3855206.0,378235.77889842,,,,0.50898745
2024-01-01 01:10:00,SOLUSD_PERP,3854865.0,376665.41995231,,,,1.25175655
2024-01-01 01:15:00,SOLUSD_PERP,3853892.0,376037.15593197,,,,1.46399466
2024-01-01 01:20:00,SOLUSD_PERP,3853597.0,376729.90927801,,,,1.14797639
2024-01-01 01:25:00,SOLUSD_PERP,3854073.0,376779.05953661,,,,1.28537455
2024-01-01 01:30:00,SOLUSD_PERP,3853615.0,376068.83898859,,,,1.07768103
2024-01-01 01:35:00,SOLUSD_PERP,3849296.0,373551.22954797,,,,1.35759277
2024-01-01 01:40:00,SOLUSD_PERP,3828887.0,367731.86459029,,,,0.83049789
2024-01-01 01:45:00,SOLUSD_PERP,3828797.0,366557.71312507,,,,0.86709891
2024-01-01 01:50:00,SOLUSD_PERP,3824451.0,366688.49535461,,,,0.88687815
2024-01-01 01:55:00,SOLUSD_PERP,3822831.0,366578.86157033,,,,0.66539593
2024-01-01 02:00:00,SOLUSD_PERP,3824146.0,366986.48804269,,,,1.21991519
2024-01-01 02:05:00,SOLUSD_PERP,3815897.0,368059.82098075,,,,0.50135398
2024-01-01 02:10:00,SOLUSD_PERP,3818944.0,369012.18463441,,,,1.04204703
2024-01-01 02:15:00,SOLUSD_PERP,3817246.0,368216.2384446,,,,1.72133443
2024-01-01 02:20:00,SOLUSD_PERP,3817361.0,368835.81572522,,,,0.60506517
2024-01-01 02:25:00,SOLUSD_PERP,3817571.0,367923.18812645,,,,1.74804607
2024-01-01 02:30:00,SOLUSD_PERP,3817719.0,368154.09666005,,,,1.2221279
2024-01-01 02:35:00,SOLUSD_PERP,3828227.0,368181.9498099,,,,2.06490566
2024-01-01 02:40:00,SOLUSD_PERP,3821258.0,366733.40724684,,,,0.54369835
2024-01-01 02:45:00,SOLUSD_PERP,3805403.0,365744.04419195,,,,0.4905762
2024-01-01 02:50:00,SOLUSD_PERP,3804075.0,366269.49740035,,,,0.52515036
2024-01-01 02:55:00,SOLUSD_PERP,3793738.0,364789.51518298,,,,0.5213404
2024-01-01 03:00:00,SOLUSD_PERP,3786969.0,364875.4191236,,,,0.28600659
2024-01-01 03:05:00,SOLUSD_PERP,3786338.0,364554.69757948,,,,1.29378758
2024-01-01 03:10:00,SOLUSD_PERP,3784166.0,365183.89526305,,,,0.93244399
2024-01-01 03:15:00,SOLUSD_PERP,3791371.0,366369.67622988,,,,0.52482001
2024-01-01 03:20:00,SOLUSD_PERP,3776236.0,366358.08877031,,,,0.46973351
2024-01-01 03:25:00,SOLUSD_PERP,3776561.0,366788.67642869,,,,1.20765078
2024-01-01 03:30:00,SOLUSD_PERP,3785506.0,367620.67605442,,,,0.98053279
2024-01-01 03:35:00,SOLUSD_PERP,3781903.0,366517.59483322,,,,1.1320928
2024-01-01 03:40:00,SOLUSD_PERP,3783064.0,365142.59261637,,,,1.13842159
2024-01-01 03:45:00,SOLUSD_PERP,3783775.0,367061.39974881,,,,0.77042526
2024-01-01 03:50:00,SOLUSD_PERP,3785587.0,367247.92285242,,,,0.96251031
2024-01-01 03:55:00,SOLUSD_PERP,3793953.0,369286.85324935,,,,0.91612136
2024-01-01 04:00:00,SOLUSD_PERP,3787827.0,367192.91642998,,,,1.88041653
2024-01-01 04:05:00,SOLUSD_PERP,3784666.0,364358.63370302,,,,0.84703935
2024-01-01 04:10:00,SOLUSD_PERP,3783303.0,365448.24921517,,,,0.56370507
2024-01-01 04:15:00,SOLUSD_PERP,3785417.0,368198.99036077,,,,0.73256666
2024-01-01 04:20:00,SOLUSD_PERP,3787282.0,370492.15929879,,,,0.52597371
2024-01-01 04:25:00,SOLUSD_PERP,3792349.0,370259.80239006,,,,0.81867674
2024-01-01 04:30:00,SOLUSD_PERP,3792764.0,371258.23800721,,,,1.22951381
2024-01-01 04:35:00,SOLUSD_PERP,3791837.0,370723.78326587,,,,1.19358838
2024-01-01 04:40:00,SOLUSD_PERP,3789269.0,370498.06313569,,,,0.59095379
2024-01-01 04:45:00,SOLUSD_PERP,3781191.0,369974.24602087,,,,0.54137827
2024-01-01 04:50:00,SOLUSD_PERP,3784101.0,369419.16300097,,,,1.95880399
2024-01-01 04:55:00,SOLUSD_PERP,3785225.0,369114.11244301,,,,1.17835486
2024-01-01 05:00:00,SOLUSD_PERP,3784222.0,368615.3039614,,,,0.62476008
2024-01-01 05:05:00,SOLUSD_PERP,3783761.0,369147.41463415,,,,0.69288938
2024-01-01 05:10:00,SOLUSD_PERP,3782009.0,368580.93753046,,,,0.59816074
2024-01-01 05:15:00,SOLUSD_PERP,3781184.0,367676.22065055,,,,1.04599483
2024-01-01 05:20:00,SOLUSD_PERP,3781861.0,367878.15412152,,,,0.6914616
2024-01-01 05:25:00,SOLUSD_PERP,3781924.0,367991.67088312,,,,1.91715976
2024-01-01 05:30:00,SOLUSD_PERP,3781894.0,369325.5859375,,,,0.44931419
2024-01-01 05:35:00,SOLUSD_PERP,3787416.0,370138.60465991,,,,1.0462154
2024-01-01 05:40:00,SOLUSD_PERP,3786529.0,370548.99351189,,,,0.72788994
2024-01-01 05:45:00,SOLUSD_PERP,3785536.0,370096.88615144,,,,0.9118534
2024-01-01 05:50:00,SOLUSD_PERP,3788409.0,372382.26110141,,,,0.40969675
2024-01-01 05:55:00,SOLUSD_PERP,3786993.0,371992.27920592,,,,1.02644044
2024-01-01 06:00:00,SOLUSD_PERP,3796746.0,373333.79525853,,,,1.91191755
2024-01-01 06:05:00,SOLUSD_PERP,3804588.0,372652.59127617,,,,1.22723974
2024-01-01 06:10:00,SOLUSD_PERP,3804830.0,373198.40702414,,,,0.92665862
2024-01-01 06:15:00,SOLUSD_PERP,3811187.0,374670.61865298,,,,1.38566698
2024-01-01 06:20:00,SOLUSD_PERP,3809241.0,372840.90909091,,,,1.59010294
2024-01-01 06:25:00,SOLUSD_PERP,3810554.0,373071.66634032,,,,0.78671854
2024-01-01 06:30:00,SOLUSD_PERP,3809940.0,373051.72869606,,,,0.89265353
2024-01-01 06:35:00,SOLUSD_PERP,3801548.0,371853.88948653,,,,1.53227957
2024-01-01 06:40:00,SOLUSD_PERP,3803880.0,371941.21500719,,,,0.72507634
2024-01-01 06:45:00,SOLUSD_PERP,3803912.0,371820.99144155,,,,0.5597119
2024-01-01 06:50:00,SOLUSD_PERP,3805029.0,371693.7579369,,,,1.06769165
2024-01-01 06:55:00,SOLUSD_PERP,3806157.0,371249.08557104,,,,0.57856898
2024-01-01 07:00:00,SOLUSD_PERP,3803881.0,371342.20391269,,,,0.53222902
2024-01-01 07:05:00,SOLUSD_PERP,3802680.0,370158.95883424,,,,1.22326742
2024-01-01 07:10:00,SOLUSD_PERP,3802129.0,369676.80776965,,,,1.00728759
2024-01-01 07:15:00,SOLUSD_PERP,3796494.0,369405.7777821,,,,0.39549685
2024-01-01 07:20:00,SOLUSD_PERP,3802878.0,372076.83821211,,,,0.53618385
2024-01-01 07:25:00,SOLUSD_PERP,3802896.0,372584.55147549,,,,0.95269382
2024-01-01 07:30:00,SOLUSD_PERP,3802358.0,371261.90167724,,,,1.10354986
2024-01-01 07:35:00,SOLUSD_PERP,3798048.0,369643.59664386,,,,0.60584787
2024-01-01 07:40:00,SOLUSD_PERP,3791753.0,367375.01129513,,,,1.33475516
2024-01-01 07:45:00,SOLUSD_PERP,3791490.0,370316.94095815,,,,0.74103762
2024-01-01 07:50:00,SOLUSD_PERP,3791466.0,369027.85618345,,,,1.08854962
2024-01-01 07:55:00,SOLUSD_PERP,3791158.0,368954.41372576,,,,1.44378989
2024-01-01 08:00:00,SOLUSD_PERP,3797943.0,370217.05955547,,,,1.94643373
2024-01-01 08:05:00,SOLUSD_PERP,3797349.0,369790.83808051,,,,1.18131085
2024-01-01 08:10:00,SOLUSD_PERP,3792662.0,368677.88864632,,,,1.89450244
2024-01-01 08:15:00,SOLUSD_PERP,3792523.0,368606.93180935,,,,0.69325153
2024-01-01 08:20:00,SOLUSD_PERP,3791666.0,368957.54473712,,,,0.61528635
2024-01-01 08:25:00,SOLUSD_PERP,3791417.0,369037.4544959,,,,0.53309291
2024-01-01 08:30:00,SOLUSD_PERP,3792355.0,369733.79801232,,,,0.86106287
2024-01-01 08:35:00,SOLUSD_PERP,3793128.0,370585.51121098,,,,0.68130967
2024-01-01 08:40:00,SOLUSD_PERP,3794009.0,371066.75496946,,,,1.15848649
2024-01-01 08:45:00,SOLUSD_PERP,3808061.0,372509.62070997,,,,0.5496777
2024-01-01 08:50:00,SOLUSD_PERP,3806053.0,371957.29293916,,,,1.80827937
2024-01-01 08:55:00,SOLUSD_PERP,3808061.0,371139.75690349,,,,1.37609261
2024-01-01 09:00:00,SOLUSD_PERP,3805862.0,370923.16840969,,,,1.34534456
2024-01-01 09:05:00,SOLUSD_PERP,3801773.0,370387.719525,,,,0.31589231
2024-01-01 09:10:00,SOLUSD_PERP,3798335.0,372597.65356771,,,,0.46551377
2024-01-01 09:15:00,SOLUSD_PERP,3806762.0,372660.69025544,,,,1.39987022
2024-01-01 09:20:00,SOLUSD_PERP,3804073.0,371702.03826386,,,,0.64350282
2024-01-01 09:25:00,SOLUSD_PERP,3803180.0,370601.17102215,,,,1.27736796
2024-01-01 09:30:00,SOLUSD_PERP,3801545.0,371041.7154681,,,,0.72530246
2024-01-01 09:35:00,SOLUSD_PERP,3796012.0,368330.29303318,,,,1.90369348
2024-01-01 09:40:00,SOLUSD_PERP,3788918.0,365849.63058037,,,,1.15821391
2024-01-01 09:45:00,SOLUSD_PERP,3795205.0,365788.78886597,,,,0.79211085
2024-01-01 09:50:00,SOLUSD_PERP,3794670.0,363754.74527518,,,,1.29239469
2024-01-01 09:55:00,SOLUSD_PERP,3797062.0,364856.53886807,,,,0.73460501
2024-01-01 10:00:00,SOLUSD_PERP,3804262.0,365237.7977232,,,,1.12439267
2024-01-01 10:05:00,SOLUSD_PERP,3802743.0,364111.39516847,,,,0.79257282
2024-01-01 10:10:00,SOLUSD_PERP,3788057.0,361759.58820384,,,,1.62390407
2024-01-01 10:15:00,SOLUSD_PERP,3792649.0,362263.85718243,,,,0.49580537
2024-01-01 10:20:00,SOLUSD_PERP,3794819.0,363448.86759522,,,,0.8574972
2024-01-01 10:25:00,SOLUSD_PERP,3797402.0,364175.62987254,,,,0.92034045
2024-01-01 10:30:00,SOLUSD_PERP,3800855.0,364616.5276827,,,,0.63383431
2024-01-01 10:35:00,SOLUSD_PERP,3803822.0,364469.46323515,,,,1.02176531
2024-01-01 10:40:00,SOLUSD_PERP,3801400.0,364216.45652091,,,,1.78527928
2024-01-01 10:45:00,SOLUSD_PERP,3789789.0,362288.27898707,,,,0.27071439
2024-01-01 10:50:00,SOLUSD_PERP,3791861.0,363246.82913745,,,,0.96820233
2024-01-01 10:55:00,SOLUSD_PERP,3800304.0,364331.36162747,,,,1.47501891
2024-01-01 11:00:00,SOLUSD_PERP,3800812.0,364460.42613582,,,,0.81805047
2024-01-01 11:05:00,SOLUSD_PERP,3800779.0,363918.76866107,,,,1.31114675
2024-01-01 11:10:00,SOLUSD_PERP,3801138.0,363647.82641972,,,,0.52899126
2024-01-01 11:15:00,SOLUSD_PERP,3797501.0,362931.83859931,,,,1.21059524
2024-01-01 11:20:00,SOLUSD_PERP,3798506.0,363872.93923806,,,,0.51330348
2024-01-01 11:25:00,SOLUSD_PERP,3797904.0,365203.39209919,,,,0.56334486
2024-01-01 11:30:00,SOLUSD_PERP,3798481.0,365094.626157,,,,0.86041812
2024-01-01 11:35:00,SOLUSD_PERP,3795154.0,364897.60206142,,,,0.81823256
2024-01-01 11:40:00,SOLUSD_PERP,3796524.0,364454.64145147,,,,0.87013681
2024-01-01 11:45:00,SOLUSD_PERP,3796484.0,364333.54597963,,,,1.23699915
2024-01-01 11:50:00,SOLUSD_PERP,3796448.0,364664.38698275,,,,0.61779449
2024-01-01 11:55:00,SOLUSD_PERP,3794863.0,364198.29513773,,,,0.64529197
2024-01-01 12:00:00,SOLUSD_PERP,3795257.0,363266.82284719,,,,1.51868613
2024-01-01 12:05:00,SOLUSD_PERP,3795422.0,363926.1297715,,,,1.01609364
2024-01-01 12:10:00,SOLUSD_PERP,3794839.0,363964.45561268,,,,0.86590909
2024-01-01 12:15:00,SOLUSD_PERP,3799355.0,364567.49309523,,,,1.3993309
2024-01-01 12:20:00,SOLUSD_PERP,3797305.0,363149.96653079,,,,1.61606939
2024-01-01 12:25:00,SOLUSD_PERP,3793294.0,362073.57005859,,,,0.86507415
2024-01-01 12:30:00,SOLUSD_PERP,3793080.0,362360.40390917,,,,0.54118416
2024-01-01 12:35:00,SOLUSD_PERP,3793680.0,363602.20825027,,,,0.89529866
2024-01-01 12:40:00,SOLUSD_PERP,3798382.0,363722.75551253,,,,0.87667735
2024-01-01 12:45:00,SOLUSD_PERP,3874915.0,368707.05111027,,,,2.86212542
2024-01-01 12:50:00,SOLUSD_PERP,3868878.0,368282.18406123,,,,1.22093647
2024-01-01 12:55:00,SOLUSD_PERP,3876439.0,365860.60332519,,,,2.0243294
2024-01-01 13:00:00,SOLUSD_PERP,3872099.0,369063.59141708,,,,0.66642801
2024-01-01 13:05:00,SOLUSD_PERP,3884975.0,369762.56105799,,,,1.34590931
2024-01-01 13:10:00,SOLUSD_PERP,3886337.0,369123.98491188,,,,1.0605757
2024-01-01 13:15:00,SOLUSD_PERP,3884825.0,369084.3756102,,,,1.39886281
2024-01-01 13:20:00,SOLUSD_PERP,3891373.0,370002.98234704,,,,0.5372747
2024-01-01 13:25:00,SOLUSD_PERP,3879461.0,368297.43200266,,,,0.85133819
2024-01-01 13:30:00,SOLUSD_PERP,3881743.0,367206.57613682,,,,0.64445171
2024-01-01 13:35:00,SOLUSD_PERP,3887029.0,367192.74877666,,,,1.47231336
2024-01-01 13:40:00,SOLUSD_PERP,3888440.0,368880.2033924,,,,1.10716768
2024-01-01 13:45:00,SOLUSD_PERP,3881436.0,366868.87399692,,,,2.13027826
2024-01-01 13:50:00,SOLUSD_PERP,3879393.0,366860.62051048,,,,1.46159866
2024-01-01 13:55:00,SOLUSD_PERP,3880155.0,367049.62539731,,,,1.04477612
2024-01-01 14:00:00,SOLUSD_PERP,3879560.0,368002.88364857,,,,0.66373571
2024-01-01 14:05:00,SOLUSD_PERP,3894769.0,371993.76455971,,,,1.50540364
2024-01-01 14:10:00,SOLUSD_PERP,3893829.0,370732.91292377,,,,1.49586182
2024-01-01 14:15:00,SOLUSD_PERP,3893698.0,370952.85177943,,,,0.62791085
2024-01-01 14:20:00,SOLUSD_PERP,3894054.0,371014.22487304,,,,1.319519
2024-01-01 14:25:00,SOLUSD_PERP,3899555.0,373299.78761746,,,,0.8602643
2024-01-01 14:30:00,SOLUSD_PERP,3900398.0,372573.81378675,,,,1.91069533
2024-01-01 14:35:00,SOLUSD_PERP,3887092.0,370530.9515185,,,,5.62091153
2024-01-01 14:40:00,SOLUSD_PERP,3883006.0,371352.09058567,,,,0.34656888
2024-01-01 14:45:00,SOLUSD_PERP,3878994.0,370511.30448072,,,,1.46876972
2024-01-01 14:50:00,SOLUSD_PERP,3878503.0,371236.58769597,,,,0.87734339
2024-01-01 14:55:00,SOLUSD_PERP,3879140.0,371241.54233379,,,,0.94373923
2024-01-01 15:00:00,SOLUSD_PERP,3878432.0,371082.9155692,,,,0.51097051
2024-01-01 15:05:00,SOLUSD_PERP,3879687.0,371222.15140063,,,,0.68071105
