create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-01-01 00:00:00,ETHUSD_PERP,35933019.0,157378.69762879,,,,0.66154876
2024-01-01 00:05:00,ETHUSD_PERP,35924478.0,156950.069102,,,,1.82674906
2024-01-01 00:10:00,ETHUSD_PERP,35999715.0,157062.70778252,,,,1.34726075
2024-01-01 00:15:00,ETHUSD_PERP,36062493.0,156958.07524413,,,,2.54193484
2024-01-01 00:20:00,ETHUSD_PERP,36058706.0,157187.72095781,,,,0.52178577
2024-01-01 00:25:00,ETHUSD_PERP,36032639.0,156924.96200194,,,,1.05832367
2024-01-01 00:30:00,ETHUSD_PERP,36077542.0,157391.79088406,,,,0.62746854
2024-01-01 00:35:00,ETHUSD_PERP,36028918.0,157278.08342389,,,,1.96459413
2024-01-01 00:40:00,ETHUSD_PERP,36028310.0,156975.98841361,,,,2.7238075
2024-01-01 00:45:00,ETHUSD_PERP,36029816.0,157042.40165949,,,,0.65160842
2024-01-01 00:50:00,ETHUSD_PERP,36031730.0,157083.8219715,,,,0.89270645
2024-01-01 00:55:00,ETHUSD_PERP,36033255.0,156943.5790962,,,,7.36609337
2024-01-01 01:00:00,ETHUSD_PERP,36052383.0,156956.43595212,,,,0.61064496
2024-01-01 01:05:00,ETHUSD_PERP,36056621.0,157086.87204019,,,,4.41316101
2024-01-01 01:10:00,ETHUSD_PERP,36040588.0,156991.03109713,,,,0.80694289
2024-01-01 01:15:00,ETHUSD_PERP,36001432.0,156675.92660893,,,,0.53851074
2024-01-01 01:20:00,ETHUSD_PERP,36046348.0,156736.28352224,,,,3.00105576
2024-01-01 01:25:00,ETHUSD_PERP,36040798.0,156750.2359465,,,,0.31637215
2024-01-01 01:30:00,ETHUSD_PERP,36044780.0,156672.15786843,,,,1.96314858
2024-01-01 01:35:00,ETHUSD_PERP,36072333.0,156678.33301014,,,,4.65850673
2024-01-01 01:40:00,ETHUSD_PERP,36083480.0,156494.81942812,,,,1.22305092
2024-01-01 01:45:00,ETHUSD_PERP,36073624.0,156511.80770983,,,,1.05170493
2024-01-01 01:50:00,ETHUSD_PERP,36061160.0,156315.985678,,,,1.29480887
2024-01-01 01:55:00,ETHUSD_PERP,36066623.0,156397.29151941,,,,1.30221195
2024-01-01 02:00:00,ETHUSD_PERP,36070181.0,156497.08692543,,,,0.53339659
2024-01-01 02:05:00,ETHUSD_PERP,36077035.0,156874.40754172,,,,0.48741568
2024-01-01 02:10:00,ETHUSD_PERP,36091263.0,156917.46433328,,,,0.71034805
2024-01-01 02:15:00,ETHUSD_PERP,36089446.0,156869.65734392,,,,2.91303273
2024-01-01 02:20:00,ETHUSD_PERP,36089517.0,156981.24377439,,,,1.06115732
2024-01-01 02:25:00,ETHUSD_PERP,36102283.0,157118.78473476,,,,0.97824938
2024-01-01 02:30:00,ETHUSD_PERP,36103015.0,157093.25599711,,,,0.95316648
2024-01-01 02:35:00,ETHUSD_PERP,36089530.0,156964.83727331,,,,0.5523268
2024-01-01 02:40:00,ETHUSD_PERP,36101509.0,156965.81244891,,,,1.86724013
2024-01-01 02:45:00,ETHUSD_PERP,36092116.0,157181.25084378,,,,0.25078131
2024-01-01 02:50:00,ETHUSD_PERP,36093287.0,157366.5928374,,,,0.36268066
2024-01-01 02:55:00,ETHUSD_PERP,36093910.0,157187.69461247,,,,0.99486869
2024-01-01 03:00:00,ETHUSD_PERP,36096638.0,157297.53355412,,,,0.52791262
2024-01-01 03:05:00,ETHUSD_PERP,36102448.0,157357.82311739,,,,1.2432722
2024-01-01 03:10:00,ETHUSD_PERP,36118094.0,157562.6837674,,,,0.58883468
2024-01-01 03:15:00,ETHUSD_PERP,36117857.0,157670.32636027,,,,0.87394958
2024-01-01 03:20:00,ETHUSD_PERP,36129103.0,158016.72928302,,,,1.2368984
2024-01-01 03:25:00,ETHUSD_PERP,36124160.0,158134.81936097,,,,0.35488926
2024-01-01 03:30:00,ETHUSD_PERP,36115125.0,158128.97143134,,,,1.39313345
2024-01-01 03:35:00,ETHUSD_PERP,36085057.0,158094.44468784,,,,0.75614266
2024-01-01 03:40:00,ETHUSD_PERP,35976041.0,157680.00836843,,,,0.28168347
2024-01-01 03:45:00,ETHUSD_PERP,35928775.0,157782.4779669,,,,0.77978642
2024-01-01 03:50:00,ETHUSD_PERP,35960959.0,157829.65443195,,,,0.99041887
2024-01-01 03:55:00,ETHUSD_PERP,35979121.0,158244.82709951,,,,1.17588735
2024-01-01 04:00:00,ETHUSD_PERP,35995973.0,158219.18886012,,,,1.4410853
2024-01-01 04:05:00,ETHUSD_PERP,35976388.0,157874.26715815,,,,1.04375738
2024-01-01 04:10:00,ETHUSD_PERP,36033018.0,158105.56601862,,,,0.72091637
2024-01-01 04:15:00,ETHUSD_PERP,36038406.0,158383.58309073,,,,0.70050142
2024-01-01 04:20:00,ETHUSD_PERP,36090250.0,158858.41934987,,,,1.05461815
2024-01-01 04:25:00,ETHUSD_PERP,36126371.0,158860.35496742,,,,1.30953731
2024-01-01 04:30:00,ETHUSD_PERP,36127980.0,158939.40560651,,,,1.18711046
2024-01-01 04:35:00,ETHUSD_PERP,36138947.0,158803.166303,,,,0.93114015
2024-01-01 04:40:00,ETHUSD_PERP,36153377.0,158824.48787731,,,,0.73824505
2024-01-01 04:45:00,ETHUSD_PERP,36160792.0,158877.30336289,,,,0.78866304
2024-01-01 04:50:00,ETHUSD_PERP,36172810.0,158827.40159754,,,,1.07872473
2024-01-01 04:55:00,ETHUSD_PERP,36198934.0,158824.01228113,,,,2.3084034
2024-01-01 05:00:00,ETHUSD_PERP,36181273.0,158632.68363334,,,,0.61363199
2024-01-01 05:05:00,ETHUSD_PERP,36137703.0,158635.76423489,,,,1.10944233
2024-01-01 05:10:00,ETHUSD_PERP,36155825.0,158501.70970146,,,,1.07258985
2024-01-01 05:15:00,ETHUSD_PERP,36150697.0,158301.63366021,,,,4.01479305
2024-01-01 05:20:00,ETHUSD_PERP,36135203.0,158253.8222014,,,,0.80333699
2024-01-01 05:25:00,ETHUSD_PERP,36107750.0,158278.46647496,,,,0.14487353
2024-01-01 05:30:00,ETHUSD_PERP,36098378.0,158328.81282697,,,,1.08607266
2024-01-01 05:35:00,ETHUSD_PERP,36096564.0,158278.69348452,,,,1.3573016
2024-01-01 05:40:00,ETHUSD_PERP,36093562.0,158346.65455822,,,,0.77209798
2024-01-01 05:45:00,ETHUSD_PERP,36114668.0,158358.52974098,,,,3.4048923
2024-01-01 05:50:00,ETHUSD_PERP,36121561.0,158605.01414278,,,,0.79793162
2024-01-01 05:55:00,ETHUSD_PERP,36137378.0,158736.5498567,,,,0.22232474
2024-01-01 06:00:00,ETHUSD_PERP,36159357.0,158781.68483424,,,,0.6480322
2024-01-01 06:05:00,ETHUSD_PERP,36163841.0,158681.5429439,,,,1.00986249
2024-01-01 06:10:00,ETHUSD_PERP,36161596.0,158620.92108971,,,,0.76749461
2024-01-01 06:15:00,ETHUSD_PERP,36171979.0,158878.9871305,,,,0.30997641
2024-01-01 06:20:00,ETHUSD_PERP,36136533.0,158420.31508804,,,,3.72320108
2024-01-01 06:25:00,ETHUSD_PERP,36161591.0,158868.94767133,,,,0.2712997
2024-01-01 06:30:00,ETHUSD_PERP,36161085.0,158778.65304503,,,,0.85081018
2024-01-01 06:35:00,ETHUSD_PERP,36160012.0,158648.7309422,,,,1.28475078
2024-01-01 06:40:00,ETHUSD_PERP,36150972.0,158492.94144468,,,,1.08732102
2024-01-01 06:45:00,ETHUSD_PERP,36157667.0,158384.80441544,,,,0.39310028
2024-01-01 06:50:00,ETHUSD_PERP,36158281.0,158378.47509669,,,,0.85506839
2024-01-01 06:55:00,ETHUSD_PERP,36160070.0,158283.2110932,,,,1.81229352
2024-01-01 07:00:00,ETHUSD_PERP,36152936.0,158316.92342725,,,,2.20720545
2024-01-01 07:05:00,ETHUSD_PERP,36204371.0,158328.77804954,,,,4.07931274
2024-01-01 07:10:00,ETHUSD_PERP,36256398.0,158556.78425484,,,,3.07878719
2024-01-01 07:15:00,ETHUSD_PERP,36231748.0,158495.47240133,,,,1.65440256
2024-01-01 07:20:00,ETHUSD_PERP,36176474.0,158288.9908859,,,,0.25952182
2024-01-01 07:25:00,ETHUSD_PERP,36178550.0,158294.61129196,,,,0.69287638
2024-01-01 07:30:00,ETHUSD_PERP,36164087.0,158101.97211669,,,,1.81846269
2024-01-01 07:35:00,ETHUSD_PERP,36161728.0,158026.58213229,,,,2.38805535
2024-01-01 07:40:00,ETHUSD_PERP,36210094.0,158267.81764937,,,,3.7944944
2024-01-01 07:45:00,ETHUSD_PERP,36179436.0,158318.57624834,,,,0.30268844
2024-01-01 07:50:00,ETHUSD_PERP,36070889.0,157816.64931178,,,,0.1844515
2024-01-01 07:55:00,ETHUSD_PERP,36069836.0,157778.90730939,,,,1.37943035
2024-01-01 08:00:00,ETHUSD_PERP,36043257.0,157677.76126216,,,,1.61415679
2024-01-01 08:05:00,ETHUSD_PERP,36044820.0,157669.48077512,,,,1.76916133
2024-01-01 08:10:00,ETHUSD_PERP,36053213.0,157722.09848326,,,,1.05260788
2024-01-01 08:15:00,ETHUSD_PERP,36056560.0,157694.62230153,,,,0.2897654
2024-01-01 08:20:00,ETHUSD_PERP,36065999.0,157707.52899099,,,,3.44265662
2024-01-01 08:25:00,ETHUSD_PERP,36061145.0,157616.78832117,,,,2.79652585
