open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00,101.777,102.856,101.629,102.034,348170,2024-01-01 00:59:59.999,34057.25745991,6730,180675,17670.83201862,0
2024-01-01 01:00:00,102.031,104.854,101.645,104.204,435827,2024-01-01 01:59:59.999,42069.20917827,8578,209439,20219.78518564,0
2024-01-01 02:00:00,104.202,104.448,103.313,103.788,338672,2024-01-01 02:59:59.999,32601.75041023,6252,144032,13870.53862355,0
2024-01-01 03:00:00,103.786,104.095,102.662,103.176,378447,2024-01-01 03:59:59.999,36685.87052308,7420,171069,16586.70472113,0
2024-01-01 04:00:00,103.179,104.08,101.629,102.701,332681,2024-01-01 04:59:59.999,32449.55709392,8027,143900,14034.17655461,0
2024-01-01 05:00:00,102.715,102.899,101.538,101.727,186893,2024-01-01 05:59:59.999,18287.96219646,4037,88446,8656.12845032,0
2024-01-01 06:00:00,101.706,102.614,101.618,102.436,241890,2024-01-01 06:59:59.999,23692.90195688,4337,121665,11921.23909033,0
2024-01-01 07:00:00,102.416,103.347,101.939,102.612,259653,2024-01-01 07:59:59.999,25308.80313532,5366,115811,11290.43757719,0
2024-01-01 08:00:00,102.597,103.068,102.058,102.636,201629,2024-01-01 08:59:59.999,19657.83078458,3943,97753,9530.21864842,0
2024-01-01 09:00:00,102.634,104.469,101.9,104.19,509143,2024-01-01 09:59:59.999,49229.22298592,8563,251857,24346.06768152,0
2024-01-01 10:00:00,104.174,105.0,104.097,104.287,407266,2024-01-01 10:59:59.999,38957.56670309,6963,201376,19261.06409899,0
2024-01-01 11:00:00,104.249,104.74,103.87,104.492,204919,2024-01-01 11:59:59.999,19650.07006119,3972,91818,8804.90725786,0
2024-01-01 12:00:00,104.493,106.24,103.992,104.918,543753,2024-01-01 12:59:59.999,51734.72658873,8787,317318,30190.72907154,0
2024-01-01 13:00:00,104.961,105.941,104.502,105.422,414250,2024-01-01 13:59:59.999,39315.10506103,7574,216748,20569.87690448,0
2024-01-01 14:00:00,105.416,105.543,104.42,104.537,347080,2024-01-01 14:59:59.999,33113.16661768,7718,191174,18233.54615908,0
2024-01-01 15:00:00,104.494,106.524,104.359,106.113,530225,2024-01-01 15:59:59.999,50121.41395202,10429,271084,25632.88468872,0
2024-01-01 16:00:00,106.142,108.562,106.016,106.751,814594,2024-01-01 16:59:59.999,75813.89489158,17406,436836,40668.23605965,0
2024-01-01 17:00:00,106.751,107.302,106.208,107.194,345477,2024-01-01 17:59:59.999,32384.00886195,7352,149113,13974.72225528,0
2024-01-01 18:00:00,107.207,108.629,107.207,108.002,483218,2024-01-01 18:59:59.999,44714.32974283,11395,241505,22345.20650193,0
2024-01-01 19:00:00,108.006,109.256,107.583,108.928,444720,2024-01-01 19:59:59.999,40949.10093095,10032,239212,22020.00590776,0
2024-01-01 20:00:00,108.951,109.604,107.704,108.081,492573,2024-01-01 20:59:59.999,45281.1811515,11258,245194,22536.28174498,0
2024-01-01 21:00:00,108.103,108.49,107.692,108.221,248968,2024-01-01 21:59:59.999,23036.97931884,5966,119997,11103.45158188,0
2024-01-01 22:00:00,108.244,108.347,107.372,108.281,184304,2024-01-01 22:59:59.999,17090.37359088,4622,92007,8531.03635922,0
2024-01-01 23:00:00,108.281,110.33,108.271,110.108,473004,2024-01-01 23:59:59.999,43307.61276182,10118,266644,24408.8347261,0
2024-01-02 00:00:00,110.107,111.147,108.663,110.791,844603,2024-01-02 00:59:59.999,77090.89071634,18481,373677,34083.95661087,0
2024-01-02 01:00:00,110.788,113.443,110.768,111.411,1214229,2024-01-02 01:59:59.999,108370.97917472,29339,590270,52685.72323649,0
2024-01-02 02:00:00,111.403,112.177,111.224,112.175,528788,2024-01-02 02:59:59.999,47338.72840566,11045,263163,23561.78636391,0
2024-01-02 03:00:00,112.172,112.288,110.883,111.635,487089,2024-01-02 03:59:59.999,43711.68571101,10083,251824,22594.56890137,0
2024-01-02 04:00:00,111.635,113.034,111.135,112.699,351022,2024-01-02 04:59:59.999,31367.96651764,8384,199307,17808.86014556,0
2024-01-02 05:00:00,112.697,113.406,112.368,112.84,490211,2024-01-02 05:59:59.999,43430.10807987,10364,207780,18406.44047347,0
