open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00,2283.22,2298.69,2282.72,2297.07,2053984,2024-01-01 00:59:59.999,8956.99732683,9975,1136982,4958.98173363,0
2024-01-01 01:00:00,2297.07,2308.48,2294.59,2305.06,1347841,2024-01-01 01:59:59.999,5853.89559355,7805,781029,3392.66473296,0
2024-01-01 02:00:00,2305.06,2306.09,2293.02,2294.8,862207,2024-01-01 02:59:59.999,3750.41213416,4997,385009,1674.70986374,0
2024-01-01 03:00:00,2294.79,2296.37,2271.88,2275.07,2479786,2024-01-01 03:59:59.999,10868.28199231,10989,1060359,4647.67476167,0
2024-01-01 04:00:00,2275.2,2281.21,2267.0,2281.21,1881768,2024-01-01 04:59:59.999,8270.74763838,10590,946221,4158.94241798,0
2024-01-01 05:00:00,2281.3,2284.88,2274.38,2277.87,944099,2024-01-01 05:59:59.999,4139.51477652,6749,462432,2027.50151877,0
2024-01-01 06:00:00,2277.86,2284.99,2276.12,2283.58,809542,2024-01-01 06:59:59.999,3551.91030565,4482,342682,1503.38394902,0
2024-01-01 07:00:00,2283.57,2289.77,2282.92,2286.09,1480061,2024-01-01 07:59:59.999,6474.13943697,5680,745041,3257.74151443,0
2024-01-01 08:00:00,2286.09,2289.0,2282.0,2288.78,588416,2024-01-01 08:59:59.999,2574.26479752,4153,290650,1271.45052197,0
2024-01-01 09:00:00,2288.78,2301.96,2288.77,2301.83,1401094,2024-01-01 09:59:59.999,6103.46270882,7717,695747,3031.07677927,0
2024-01-01 10:00:00,2301.83,2305.0,2299.59,2303.87,961119,2024-01-01 10:59:59.999,4174.2396855,6138,402271,1747.23511035,0
2024-01-01 11:00:00,2303.87,2307.13,2301.0,2306.27,617952,2024-01-01 11:59:59.999,2681.73930475,5140,283809,1231.66520569,0
2024-01-01 12:00:00,2306.27,2309.45,2301.29,2301.57,1626374,2024-01-01 12:59:59.999,7051.7225786,7170,1080480,4684.11173877,0
2024-01-01 13:00:00,2301.57,2310.34,2300.12,2306.33,672353,2024-01-01 13:59:59.999,2915.40176474,5373,350903,1521.50363152,0
2024-01-01 14:00:00,2306.33,2306.84,2297.1,2303.29,1143786,2024-01-01 14:59:59.999,4968.53209005,6847,491886,2136.57190313,0
